name,load,startTime,endTime,startPos,endPos
DeRotterda.West.LW.LW02,13,2014-04-03 11:26:41,2014-04-03 11:27:08,24,44
DeRotterda.West.LW.LW02,5,2014-04-03 11:29:31,2014-04-03 11:29:58,44,25
DeRotterda.West.LW.LW02,17,2014-04-03 11:30:09,2014-04-03 11:30:32,25,9
DeRotterda.West.LW.LW02,2,2014-04-03 11:30:42,2014-04-03 11:31:01,9,0
DeRotterda.West.LW.LW02,4,2014-04-03 11:31:08,2014-04-03 11:31:39,0,20
DeRotterda.West.LW.LW02,3,2014-04-03 11:31:45,2014-04-03 11:32:03,20,9
DeRotterda.West.LW.LW02,14,2014-04-03 11:32:13,2014-04-03 11:32:21,9,7
DeRotterda.West.LW.LW02,21,2014-04-03 11:32:30,2014-04-03 11:32:46,7,0
DeRotterda.West.LW.LW02,0,2014-04-03 11:33:11,2014-04-03 11:33:30,0,10
DeRotterda.West.LW.LW02,4,2014-04-03 11:33:39,2014-04-03 11:33:58,10,0
DeRotterda.West.LW.LW02,4,2014-04-03 11:34:39,2014-04-03 11:34:55,0,7
DeRotterda.West.LW.LW02,11,2014-04-03 11:35:04,2014-04-03 11:35:12,7,9
DeRotterda.West.LW.LW02,5,2014-04-03 11:35:20,2014-04-03 11:36:02,9,44
DeRotterda.West.LW.LW02,5,2014-04-03 11:45:08,2014-04-03 11:45:17,44,42
DeRotterda.West.LW.LW02,10,2014-04-03 11:45:26,2014-04-03 11:46:17,42,1
DeRotterda.West.LW.LW02,5,2014-04-03 11:46:25,2014-04-03 11:47:15,1,42
DeRotterda.West.LW.LW02,9,2014-04-03 11:48:33,2014-04-03 11:49:22,42,2
DeRotterda.West.LW.LW02,5,2014-04-03 11:52:38,2014-04-03 11:53:28,2,42
DeRotterda.West.LW.LW02,4,2014-04-03 12:20:10,2014-04-03 12:20:19,42,44
DeRotterda.West.LW.LW02,15,2014-04-03 12:20:29,2014-04-03 12:21:22,44,0
DeRotterda.West.LW.LW02,0,2014-04-03 12:21:32,2014-04-03 12:22:05,0,24
DeRotterda.West.LW.LW02,8,2014-04-03 12:22:13,2014-04-03 12:22:47,24,0
DeRotterda.West.LW.LW02,0,2014-04-03 12:26:48,2014-04-03 12:26:59,0,3
DeRotterda.West.LW.LW02,5,2014-04-03 12:27:08,2014-04-03 12:27:19,3,0
DeRotterda.West.LW.LW02,4,2014-04-03 12:28:53,2014-04-03 12:29:33,0,30
DeRotterda.West.LW.LW02,4,2014-04-03 12:30:30,2014-04-03 12:30:49,30,42
DeRotterda.West.LW.LW02,11,2014-04-03 12:31:00,2014-04-03 12:31:07,42,43
DeRotterda.West.LW.LW02,5,2014-04-03 12:31:17,2014-04-03 12:31:24,43,42
DeRotterda.West.LW.LW02,5,2014-04-03 12:32:06,2014-04-03 12:32:12,42,43
DeRotterda.West.LW.LW02,12,2014-04-03 12:32:22,2014-04-03 12:33:15,43,0
DeRotterda.West.LW.LW02,6,2014-04-03 12:33:45,2014-04-03 12:34:13,0,19
DeRotterda.West.LW.LW02,3,2014-04-03 12:34:23,2014-04-03 12:34:34,19,23
